,word1,word2,word3,word4,category
19543,Athens,Greece,Baghdad,Iraq,capital-common-countries
19542,Athens,Greece,Bangkok,Thailand,capital-common-countries
19541,Athens,Greece,Beijing,China,capital-common-countries
19540,Athens,Greece,Berlin,Germany,capital-common-countries
19539,Athens,Greece,Bern,Switzerland,capital-common-countries
19538,Athens,Greece,Cairo,Egypt,capital-common-countries
19537,Athens,Greece,Canberra,Australia,capital-common-countries
19536,Athens,Greece,Hanoi,Vietnam,capital-common-countries
19535,Athens,Greece,Havana,Cuba,capital-common-countries
19534,Athens,Greece,Helsinki,Finland,capital-common-countries
19533,Athens,Greece,Islamabad,Pakistan,capital-common-countries
19532,Athens,Greece,Kabul,Afghanistan,capital-common-countries
19531,Athens,Greece,London,England,capital-common-countries
19530,Athens,Greece,Madrid,Spain,capital-common-countries
19529,Athens,Greece,Moscow,Russia,capital-common-countries
19528,Athens,Greece,Oslo,Norway,capital-common-countries
19527,Athens,Greece,Ottawa,Canada,capital-common-countries
19526,Athens,Greece,Paris,France,capital-common-countries
19525,Athens,Greece,Rome,Italy,capital-common-countries
19524,Athens,Greece,Stockholm,Sweden,capital-common-countries
19523,Athens,Greece,Tehran,Iran,capital-common-countries
19522,Athens,Greece,Tokyo,Japan,capital-common-countries
19521,Baghdad,Iraq,Bangkok,Thailand,capital-common-countries
19520,Baghdad,Iraq,Beijing,China,capital-common-countries
19519,Baghdad,Iraq,Berlin,Germany,capital-common-countries
19518,Baghdad,Iraq,Bern,Switzerland,capital-common-countries
19517,Baghdad,Iraq,Cairo,Egypt,capital-common-countries
19516,Baghdad,Iraq,Canberra,Australia,capital-common-countries
19515,Baghdad,Iraq,Hanoi,Vietnam,capital-common-countries
19514,Baghdad,Iraq,Havana,Cuba,capital-common-countries
19513,Baghdad,Iraq,Helsinki,Finland,capital-common-countries
19512,Baghdad,Iraq,Islamabad,Pakistan,capital-common-countries
19511,Baghdad,Iraq,Kabul,Afghanistan,capital-common-countries
19510,Baghdad,Iraq,London,England,capital-common-countries
19509,Baghdad,Iraq,Madrid,Spain,capital-common-countries
19508,Baghdad,Iraq,Moscow,Russia,capital-common-countries
19507,Baghdad,Iraq,Oslo,Norway,capital-common-countries
19506,Baghdad,Iraq,Ottawa,Canada,capital-common-countries
19505,Baghdad,Iraq,Paris,France,capital-common-countries
19504,Baghdad,Iraq,Rome,Italy,capital-common-countries
19503,Baghdad,Iraq,Stockholm,Sweden,capital-common-countries
19502,Baghdad,Iraq,Tehran,Iran,capital-common-countries
19501,Baghdad,Iraq,Tokyo,Japan,capital-common-countries
19500,Baghdad,Iraq,Athens,Greece,capital-common-countries
19499,Bangkok,Thailand,Beijing,China,capital-common-countries
19498,Bangkok,Thailand,Berlin,Germany,capital-common-countries
19497,Bangkok,Thailand,Bern,Switzerland,capital-common-countries
19496,Bangkok,Thailand,Cairo,Egypt,capital-common-countries
19495,Bangkok,Thailand,Canberra,Australia,capital-common-countries
19494,Bangkok,Thailand,Hanoi,Vietnam,capital-common-countries
19493,Bangkok,Thailand,Havana,Cuba,capital-common-countries
19492,Bangkok,Thailand,Helsinki,Finland,capital-common-countries
19491,Bangkok,Thailand,Islamabad,Pakistan,capital-common-countries
19490,Bangkok,Thailand,Kabul,Afghanistan,capital-common-countries
19489,Bangkok,Thailand,London,England,capital-common-countries
19488,Bangkok,Thailand,Madrid,Spain,capital-common-countries
19487,Bangkok,Thailand,Moscow,Russia,capital-common-countries
19486,Bangkok,Thailand,Oslo,Norway,capital-common-countries
19485,Bangkok,Thailand,Ottawa,Canada,capital-common-countries
19484,Bangkok,Thailand,Paris,France,capital-common-countries
19483,Bangkok,Thailand,Rome,Italy,capital-common-countries
19482,Bangkok,Thailand,Stockholm,Sweden,capital-common-countries
19481,Bangkok,Thailand,Tehran,Iran,capital-common-countries
19480,Bangkok,Thailand,Tokyo,Japan,capital-common-countries
19479,Bangkok,Thailand,Athens,Greece,capital-common-countries
19478,Bangkok,Thailand,Baghdad,Iraq,capital-common-countries
19477,Beijing,China,Berlin,Germany,capital-common-countries
19476,Beijing,China,Bern,Switzerland,capital-common-countries
19475,Beijing,China,Cairo,Egypt,capital-common-countries
19474,Beijing,China,Canberra,Australia,capital-common-countries
19473,Beijing,China,Hanoi,Vietnam,capital-common-countries
19472,Beijing,China,Havana,Cuba,capital-common-countries
19471,Beijing,China,Helsinki,Finland,capital-common-countries
19470,Beijing,China,Islamabad,Pakistan,capital-common-countries
19469,Beijing,China,Kabul,Afghanistan,capital-common-countries
19468,Beijing,China,London,England,capital-common-countries
19467,Beijing,China,Madrid,Spain,capital-common-countries
19466,Beijing,China,Moscow,Russia,capital-common-countries
19465,Beijing,China,Oslo,Norway,capital-common-countries
19464,Beijing,China,Ottawa,Canada,capital-common-countries
19463,Beijing,China,Paris,France,capital-common-countries
19462,Beijing,China,Rome,Italy,capital-common-countries
19461,Beijing,China,Stockholm,Sweden,capital-common-countries
19460,Beijing,China,Tehran,Iran,capital-common-countries
19459,Beijing,China,Tokyo,Japan,capital-common-countries
19458,Beijing,China,Athens,Greece,capital-common-countries
19457,Beijing,China,Baghdad,Iraq,capital-common-countries
19456,Beijing,China,Bangkok,Thailand,capital-common-countries
19455,Berlin,Germany,Bern,Switzerland,capital-common-countries
19454,Berlin,Germany,Cairo,Egypt,capital-common-countries
19453,Berlin,Germany,Canberra,Australia,capital-common-countries
19452,Berlin,Germany,Hanoi,Vietnam,capital-common-countries
19451,Berlin,Germany,Havana,Cuba,capital-common-countries
19450,Berlin,Germany,Helsinki,Finland,capital-common-countries
19449,Berlin,Germany,Islamabad,Pakistan,capital-common-countries
19448,Berlin,Germany,Kabul,Afghanistan,capital-common-countries
19447,Berlin,Germany,London,England,capital-common-countries
19446,Berlin,Germany,Madrid,Spain,capital-common-countries
19445,Berlin,Germany,Moscow,Russia,capital-common-countries
19444,Berlin,Germany,Oslo,Norway,capital-common-countries
19443,Berlin,Germany,Ottawa,Canada,capital-common-countries
19442,Berlin,Germany,Paris,France,capital-common-countries
19441,Berlin,Germany,Rome,Italy,capital-common-countries
19440,Berlin,Germany,Stockholm,Sweden,capital-common-countries
19439,Berlin,Germany,Tehran,Iran,capital-common-countries
19438,Berlin,Germany,Tokyo,Japan,capital-common-countries
19437,Berlin,Germany,Athens,Greece,capital-common-countries
19436,Berlin,Germany,Baghdad,Iraq,capital-common-countries
19435,Berlin,Germany,Bangkok,Thailand,capital-common-countries
19434,Berlin,Germany,Beijing,China,capital-common-countries
19433,Bern,Switzerland,Cairo,Egypt,capital-common-countries
19432,Bern,Switzerland,Canberra,Australia,capital-common-countries
19431,Bern,Switzerland,Hanoi,Vietnam,capital-common-countries
19430,Bern,Switzerland,Havana,Cuba,capital-common-countries
19429,Bern,Switzerland,Helsinki,Finland,capital-common-countries
19428,Bern,Switzerland,Islamabad,Pakistan,capital-common-countries
19427,Bern,Switzerland,Kabul,Afghanistan,capital-common-countries
19426,Bern,Switzerland,London,England,capital-common-countries
19425,Bern,Switzerland,Madrid,Spain,capital-common-countries
19424,Bern,Switzerland,Moscow,Russia,capital-common-countries
19423,Bern,Switzerland,Oslo,Norway,capital-common-countries
19422,Bern,Switzerland,Ottawa,Canada,capital-common-countries
19421,Bern,Switzerland,Paris,France,capital-common-countries
19420,Bern,Switzerland,Rome,Italy,capital-common-countries
19419,Bern,Switzerland,Stockholm,Sweden,capital-common-countries
19418,Bern,Switzerland,Tehran,Iran,capital-common-countries
19417,Bern,Switzerland,Tokyo,Japan,capital-common-countries
19416,Bern,Switzerland,Athens,Greece,capital-common-countries
19415,Bern,Switzerland,Baghdad,Iraq,capital-common-countries
19414,Bern,Switzerland,Bangkok,Thailand,capital-common-countries
19413,Bern,Switzerland,Beijing,China,capital-common-countries
19412,Bern,Switzerland,Berlin,Germany,capital-common-countries
19411,Cairo,Egypt,Canberra,Australia,capital-common-countries
19410,Cairo,Egypt,Hanoi,Vietnam,capital-common-countries
19409,Cairo,Egypt,Havana,Cuba,capital-common-countries
19408,Cairo,Egypt,Helsinki,Finland,capital-common-countries
19407,Cairo,Egypt,Islamabad,Pakistan,capital-common-countries
19406,Cairo,Egypt,Kabul,Afghanistan,capital-common-countries
19405,Cairo,Egypt,London,England,capital-common-countries
19404,Cairo,Egypt,Madrid,Spain,capital-common-countries
19403,Cairo,Egypt,Moscow,Russia,capital-common-countries
19402,Cairo,Egypt,Oslo,Norway,capital-common-countries
19401,Cairo,Egypt,Ottawa,Canada,capital-common-countries
19400,Cairo,Egypt,Paris,France,capital-common-countries
19399,Cairo,Egypt,Rome,Italy,capital-common-countries
19398,Cairo,Egypt,Stockholm,Sweden,capital-common-countries
19397,Cairo,Egypt,Tehran,Iran,capital-common-countries
19396,Cairo,Egypt,Tokyo,Japan,capital-common-countries
19395,Cairo,Egypt,Athens,Greece,capital-common-countries
19394,Cairo,Egypt,Baghdad,Iraq,capital-common-countries
19393,Cairo,Egypt,Bangkok,Thailand,capital-common-countries
19392,Cairo,Egypt,Beijing,China,capital-common-countries
19391,Cairo,Egypt,Berlin,Germany,capital-common-countries
19390,Cairo,Egypt,Bern,Switzerland,capital-common-countries
19389,Canberra,Australia,Hanoi,Vietnam,capital-common-countries
19388,Canberra,Australia,Havana,Cuba,capital-common-countries
19387,Canberra,Australia,Helsinki,Finland,capital-common-countries
19386,Canberra,Australia,Islamabad,Pakistan,capital-common-countries
19385,Canberra,Australia,Kabul,Afghanistan,capital-common-countries
19384,Canberra,Australia,London,England,capital-common-countries
19383,Canberra,Australia,Madrid,Spain,capital-common-countries
19382,Canberra,Australia,Moscow,Russia,capital-common-countries
19381,Canberra,Australia,Oslo,Norway,capital-common-countries
19380,Canberra,Australia,Ottawa,Canada,capital-common-countries
19379,Canberra,Australia,Paris,France,capital-common-countries
19378,Canberra,Australia,Rome,Italy,capital-common-countries
19377,Canberra,Australia,Stockholm,Sweden,capital-common-countries
19376,Canberra,Australia,Tehran,Iran,capital-common-countries
19375,Canberra,Australia,Tokyo,Japan,capital-common-countries
19374,Canberra,Australia,Athens,Greece,capital-common-countries
19373,Canberra,Australia,Baghdad,Iraq,capital-common-countries
19372,Canberra,Australia,Bangkok,Thailand,capital-common-countries
19371,Canberra,Australia,Beijing,China,capital-common-countries
19370,Canberra,Australia,Berlin,Germany,capital-common-countries
19369,Canberra,Australia,Bern,Switzerland,capital-common-countries
19368,Canberra,Australia,Cairo,Egypt,capital-common-countries
19367,Hanoi,Vietnam,Havana,Cuba,capital-common-countries
19366,Hanoi,Vietnam,Helsinki,Finland,capital-common-countries
19365,Hanoi,Vietnam,Islamabad,Pakistan,capital-common-countries
19364,Hanoi,Vietnam,Kabul,Afghanistan,capital-common-countries
19363,Hanoi,Vietnam,London,England,capital-common-countries
